id,midden,midden.S,tree,lat,long,serotiny,dbh,distance,direction,cones.sampled,length,width,width.scale,count.seeds,mass.cone,mass.seed,mass.ratio,count.before,count.after,predation,jdate.cone,ns.season
2.05.10,5,0.25,10,41.05.364,106.08.470,NS,18.5,24,SE,3,38.56666667,27.03666667,6.077777778,31.33333333,5.033366667,0.07776,0.01507942,14,3,0.785714286,261,fall
2.05.11,5,0.25,11,41.05.358,106.08.476,S,18.5,27,SE,3,37.98333333,23.58666667,4.215555556,19.66666667,5.2465,0.053653333,0.010221997,8,4,0.5,261,NA
2.05.12,5,0.25,12,41.05.354,106.08.486,NS,16.2,31,S,3,36.15,26.84333333,6.11,18.66666667,5.116833333,0.047586667,0.009251665,11,8,0.272727273,261,fall
2.05.13,5,0.25,13,41.05.352,106.08.495,S,12.7,36,SW,3,25.25333333,16.65666667,4.574444444,7.666666667,2.035966667,0.01354,0.006483723,34,18,0.470588235,261,NA
2.05.16,5,0.25,16,41.05.362,106.08.506,NS,18.5,32,W,2,28.75,19.58,4.814166667,12.5,2.82445,0.0314,0.011217649,9,6,0.333333333,261,fall
2.05.17,5,0.25,17,41.05.373,106.08.507,S,22.6,31,W,1,30.48,19.55,4.76,23,3.0146,0.06026,0.019989385,5,1,0.8,261,NA
2.08.01,8,0.25,1,41.06.656,106.08.517,NS,22.3,23,N,3,42.29666667,23.17666667,5.517222222,19.33333333,4.510866667,0.067213333,0.014559089,17,15,0.117647059,250,spring
2.08.02,8,0.25,2,41.06.655,106.08.514,S,14.6,26,N,2,39.45,26.11,5.7325,25.5,5.56065,0.10344,0.01883586,17,1,0.941176471,250,NA
2.08.03,8,0.25,3,41.06.658,106.08.506,NS,23.6,32,NE,3,29.53333333,20.16,4.597222222,13.33333333,3.0935,0.049653333,0.015753982,21,17,0.190476191,250,spring
2.08.04,8,0.25,4,41.06.652,106.08.509,S,17.5,25,NE,3,31.07666667,19.46333333,4.381111111,0,2.983233333,0,0,27,21,0.222222222,250,NA
2.08.05,8,0.25,5,41.06.655,106.08.503,NS,18.5,29,NE,3,39.03666667,22.24666667,4.496111111,22,4.0774,0.05108,0.012847351,4,0,1,250,spring
2.08.06,8,0.25,6,41.06.640,106.08.506,NS,20.1,22,N,3,43.08333333,25.13,6.007777778,18.66666667,6.645233333,0.069466667,0.010168837,25,21,0.16,250,spring
2.08.08,8,0.25,8,41.06.625,106.08.506,S,24.8,42,SE,3,35.07666667,20.94666667,4.743333333,6.666666667,3.2511,0.01868,0.005978878,11,11,0,250,NA
2.08.09,8,0.25,9,41.06.635,106.08.522,NS,18.2,16,S,3,32.43,17.79,4.479444444,36.66666667,2.681633333,0.102593333,0.039004067,13,7,0.461538462,250,spring
2.08.10,8,0.25,10,41.06.632,106.08.522,S,18.8,24,S,3,37.91,25.45333333,6.017222222,2,5.368266667,0.005,0.001001322,18,15,0.166666667,250,NA
2.08.11,8,0.25,11,41.06.633,106.08.527,S,24.5,22,S,3,42.69333333,30.32333333,5.886666667,11.66666667,8.300733333,0.04044,0.004887855,20,18,0.1,250,NA
2.08.12,8,0.25,12,41.06.628,106.08.538,NS,26.1,39,SW,3,32.96666667,26.65,5.817222222,11,5.647866667,0.052453333,0.008141544,5,3,0.4,250,spring
2.08.13,8,0.25,13,41.06.637,106.08.545,S,15.9,37,W,3,34.12,21.74666667,5.040555556,21.33333333,4.2116,0.052753333,0.012830557,16,15,0.0625,250,NA
2.08.14,8,0.25,14,41.06.641,106.08.541,NS,14,33,W,3,29.97,20.65333333,4.414444444,26.33333333,2.600733333,0.04866,0.018248219,10,10,0,250,spring
